"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","South Grand Manan",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eel Bay",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","McNutts Island",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Country Island",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","MacNamaras Islands",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Fleur de Lis Coast",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Ingonish",0.2,1
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Aspy Bay",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Bird Islands",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Eastern Shore Islands",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Long Eddy",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Bras d’Or Lake",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Salmon Rivers",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Western/Emerald Banks Marine Refuge",0.02,0.1
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Eastern Canyons Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Southwest Bank",4.46,22.3
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Western Jordan Basin",0.71,3.5
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Georges Bank",4.06,20.3
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","LaHave Basin",1.06,5.3
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Scotian Gulf",1.6,8
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Sable Island Bank",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Canso Bank and Channels",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Misaine Bank and Laurentian Channel",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Eastern Shoal",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Cold Seeps",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Fundian Channel-Browns Bank",1.62,8.1
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Logan Canyon",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","St. Anns Bank Marine Protected Area ",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Gully Marine Protected Area",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Pemsɨk",2.62,13.1
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Southern Bight",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Cobequid Bay",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Chignecto Bay",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","West Isles and Passages",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Chebogue",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","LaHave Islands",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Sambro Ledges - Prospect",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Brier Island",0.27,1.4
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","South Grand Manan",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Eel Bay",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","McNutts Island",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Country Island",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","MacNamaras Islands",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Fleur de Lis Coast",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Ingonish",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Aspy Bay",0,0
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bird Islands",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Shore Islands",0.11,0.5
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
